BUSMASTER Ver 3.2.2,,,,,,
PROTOCOL CAN,,,,,,
NOTE: PLEASE DO NOT EDIT THIS DOCUMENT,,,,,,
[START LOGGING SESSION],,,,,,
START DATE AND TIME 15:1:2019 13:13:26:24,,,,,,
END DATE AND TIME 23:1:2019 14:47:40:625,,,,,,
SYSTEM MODE,,,,,,
START CHANNEL BAUD RATE,,,,,,
CHANNEL 1 - Kvaser - Kvaser Leaf Light v2 #0 (Channel 0), Serial Number- 0, Firmware- 0x00000187 0x00040004 - 250000 bps,,,,
END CHANNEL BAUD RATE,,,,,,
START DATABASE FILES,,,,,,
END DATABASE FILES,,,,,,
<Time>,<Tx/Rx>,<Channel>,<CAN ID>,<Type>,<DLC>,<DataBytes>
13:13:30:0022,Rx,1,0x5601069,x,8,55 F7 F1 FF 2A 00 96 C0 
13:13:30:0072,Rx,1,0x5601069,x,8,55 F7 F1 FF 29 00 96 C0 
13:13:30:0122,Rx,1,0x5601069,x,8,55 F7 F0 FF 29 00 96 C0 
13:13:30:0172,Rx,1,0x5601069,x,8,55 F7 F0 FF 28 00 96 C0 
13:13:30:0222,Rx,1,0x5601069,x,8,55 F7 F0 FF 28 00 96 C0 
13:13:30:0272,Rx,1,0x5601069,x,8,55 F7 F0 FF 27 00 96 C0 
13:13:30:0332,Rx,1,0x5601069,x,8,55 F7 EF FF 27 00 96 C0 
13:13:30:0392,Rx,1,0x5601069,x,8,54 F7 FE FF 3B 00 96 C0 
13:13:30:0432,Rx,1,0x5601069,x,8,54 F7 FE FF 3A 00 96 C0 
13:13:30:0482,Rx,1,0x5601069,x,8,54 F7 FE FF 3A 00 96 C0 
13:13:30:0532,Rx,1,0x5601069,x,8,54 F7 FD FF 39 00 96 C0 
13:13:30:0582,Rx,1,0x5601069,x,8,54 F7 FD FF 39 00 96 C0 
13:13:30:0632,Rx,1,0x5601069,x,8,53 F7 FC FF 38 00 96 C0 
13:13:30:0682,Rx,1,0x5601069,x,8,53 F7 FC FF 38 00 96 C0 
13:13:30:0732,Rx,1,0x5601069,x,8,53 F7 FB FF 37 00 96 C0 
13:13:30:0782,Rx,1,0x5601069,x,8,53 F7 FB FF 37 00 96 C0 
13:13:30:0832,Rx,1,0x5601069,x,8,53 F7 FA FF 37 00 96 C0 
13:13:30:0882,Rx,1,0x5601069,x,8,53 F7 FA FF 36 00 96 C0 
13:13:30:0932,Rx,1,0x5601069,x,8,53 F7 F9 FF 36 00 96 C0 
13:13:30:0982,Rx,1,0x5601069,x,8,53 F7 F9 FF 35 00 97 C0 
13:13:30:1042,Rx,1,0x5601069,x,8,52 F7 F9 FF 35 00 97 C0 
13:13:30:1092,Rx,1,0x5601069,x,8,52 F7 F9 FF 35 00 97 C0 
13:13:30:1142,Rx,1,0x5601069,x,8,52 F7 F9 FF 35 00 97 C0 
13:13:30:1192,Rx,1,0x5601069,x,8,52 F7 F9 FF 34 00 97 C0 
13:13:30:1242,Rx,1,0x5601069,x,8,51 F7 F9 FF 34 00 97 C0 
13:13:30:1292,Rx,1,0x5601069,x,8,51 F7 F9 FF 33 00 97 C0 
13:13:30:1342,Rx,1,0x5601069,x,8,51 F7 F9 FF 33 00 97 C0 
13:13:30:1392,Rx,1,0x5601069,x,8,52 F7 F9 FF 32 00 97 C0 
13:13:30:1442,Rx,1,0x5601069,x,8,52 F7 F9 FF 32 00 97 C0 
13:13:30:1492,Rx,1,0x5601069,x,8,52 F7 F9 FF 31 00 97 C0 
13:13:30:1542,Rx,1,0x5601069,x,8,51 F7 F9 FF 31 00 97 C0 
13:13:30:1592,Rx,1,0x5601069,x,8,51 F7 F9 FF 30 00 97 C0 
13:13:30:1642,Rx,1,0x5601069,x,8,51 F7 F8 FF 30 00 97 C0 
13:13:30:1692,Rx,1,0x5601069,x,8,51 F7 F8 FF 2F 00 97 C0 
13:13:30:1742,Rx,1,0x5601069,x,8,50 F7 F8 FF 2F 00 97 C0 
13:13:30:1792,Rx,1,0x5601069,x,8,50 F7 F8 FF 2E 00 97 C0 
13:13:30:1842,Rx,1,0x5601069,x,8,50 F7 F8 FF 2E 00 97 C0 
13:13:30:1902,Rx,1,0x5601069,x,8,50 F7 F8 FF 2D 00 97 C0 
13:13:30:1952,Rx,1,0x5601069,x,8,4F F7 F8 FF 2D 00 97 C0 
13:13:30:2002,Rx,1,0x5601069,x,8,4F F7 F8 FF 2C 00 97 C0 
13:13:30:2052,Rx,1,0x5601069,x,8,4F F7 F8 FF 2C 00 97 C0 
13:13:30:2102,Rx,1,0x5601069,x,8,4F F7 F7 FF 2B 00 97 C0 
13:13:30:2152,Rx,1,0x5601069,x,8,4F F7 F7 FF 2B 00 97 C0 
13:13:30:2202,Rx,1,0x5601069,x,8,4F F7 F7 FF 2A 00 97 C0 
13:13:30:2252,Rx,1,0x5601069,x,8,4F F7 F7 FF 2A 00 97 C0 
13:13:30:2302,Rx,1,0x5601069,x,8,4E F7 F7 FF 29 00 97 C0 
13:13:30:2352,Rx,1,0x5601069,x,8,4E F7 F7 FF 29 00 97 C0 
13:13:30:2402,Rx,1,0x5601069,x,8,4E F7 F7 FF 28 00 97 C0 
13:13:30:2452,Rx,1,0x5601069,x,8,4E F7 F7 FF 28 00 97 C0 
13:13:30:2502,Rx,1,0x5601069,x,8,4E F7 F6 FF 27 00 97 C0 
13:13:30:2552,Rx,1,0x5601069,x,8,4E F7 F6 FF 27 00 97 C0 
13:13:30:2602,Rx,1,0x5601069,x,8,4D F7 F6 FF 26 00 97 C0 
13:13:30:2662,Rx,1,0x5601069,x,8,4D F7 F6 FF 26 00 97 C0 
13:13:30:2712,Rx,1,0x5601069,x,8,4D F7 F6 FF 25 00 97 C0 
13:13:30:2762,Rx,1,0x5601069,x,8,4D F7 F6 FF 25 00 97 C0 
13:13:30:2812,Rx,1,0x5601069,x,8,4C F7 F5 FF 25 00 97 C0 
13:13:30:2862,Rx,1,0x5601069,x,8,4C F7 FA FF 39 00 97 C0 
13:13:30:2922,Rx,1,0x5601069,x,8,4C F7 F9 FF 39 00 97 C0 
13:13:30:2962,Rx,1,0x5601069,x,8,4B F7 F9 FF 38 00 98 C0 
13:13:30:3012,Rx,1,0x5601069,x,8,4B F7 F9 FF 38 00 98 C0 
13:13:30:3062,Rx,1,0x5601069,x,8,4B F7 F9 FF 37 00 98 C0 
13:13:30:3112,Rx,1,0x5601069,x,8,4B F7 F9 FF 37 00 98 C0 
13:13:30:3162,Rx,1,0x5601069,x,8,4A F7 F9 FF 37 00 98 C0 
13:13:30:3212,Rx,1,0x5601069,x,8,4A F7 F9 FF 36 00 98 C0 
13:13:30:3262,Rx,1,0x5601069,x,8,4A F7 F9 FF 36 00 98 C0 
13:13:30:3312,Rx,1,0x5601069,x,8,4A F7 F9 FF 35 00 98 C0 
13:13:30:3372,Rx,1,0x5601069,x,8,49 F7 F9 FF 35 00 98 C0 
13:13:30:3422,Rx,1,0x5601069,x,8,4A F7 F9 FF 34 00 98 C0 
13:13:30:3472,Rx,1,0x5601069,x,8,49 F7 F9 FF 34 00 98 C0 
13:13:30:3522,Rx,1,0x5601069,x,8,49 F7 F8 FF 33 00 98 C0 
13:13:30:3572,Rx,1,0x5601069,x,8,49 F7 F8 FF 33 00 98 C0 
13:13:30:3622,Rx,1,0x5601069,x,8,49 F7 F8 FF 32 00 98 C0 
13:13:30:3672,Rx,1,0x5601069,x,8,48 F7 F8 FF 32 00 98 C0 
13:13:30:3722,Rx,1,0x5601069,x,8,48 F7 F8 FF 31 00 98 C0 
13:13:30:3772,Rx,1,0x5601069,x,8,48 F7 F8 FF 31 00 98 C0 
13:13:30:3822,Rx,1,0x5601069,x,8,48 F7 F7 FF 30 00 98 C0 
13:13:30:3872,Rx,1,0x5601069,x,8,47 F7 F7 FF 30 00 98 C0 
13:13:30:3922,Rx,1,0x5601069,x,8,47 F7 F7 FF 2F 00 98 C0 
13:13:30:3972,Rx,1,0x5601069,x,8,47 F7 F7 FF 2F 00 98 C0 
13:13:30:4022,Rx,1,0x5601069,x,8,47 F7 F7 FF 2E 00 98 C0 
13:13:30:4072,Rx,1,0x5601069,x,8,46 F7 F7 FF 2E 00 98 C0 
13:13:30:4122,Rx,1,0x5601069,x,8,46 F7 F7 FF 2D 00 98 C0 
13:13:30:4172,Rx,1,0x5601069,x,8,46 F7 F6 FF 2D 00 98 C0 
13:13:30:4232,Rx,1,0x5601069,x,8,46 F7 F6 FF 2C 00 98 C0 
13:13:30:4282,Rx,1,0x5601069,x,8,45 F7 F6 FF 2C 00 98 C0 
13:13:30:4332,Rx,1,0x5601069,x,8,45 F7 F6 FF 2B 00 98 C0 
13:13:30:4382,Rx,1,0x5601069,x,8,45 F7 F5 FF 2B 00 98 C0 
13:13:30:4432,Rx,1,0x5601069,x,8,45 F7 F5 FF 2B 00 98 C0 
13:13:30:4482,Rx,1,0x5601069,x,8,44 F7 F5 FF 2A 00 98 C0 
13:13:30:4532,Rx,1,0x5601069,x,8,44 F7 F5 FF 2A 00 98 C0 
13:13:30:4582,Rx,1,0x5601069,x,8,44 F7 F5 FF 29 00 98 C0 
13:13:30:4632,Rx,1,0x5601069,x,8,44 F7 F5 FF 29 00 98 C0 
13:13:30:4682,Rx,1,0x5601069,x,8,44 F7 F5 FF 28 00 98 C0 
13:13:30:4732,Rx,1,0x5601069,x,8,44 F7 F5 FF 28 00 99 C0 
13:13:30:4782,Rx,1,0x5601069,x,8,43 F7 FF FF 3C 00 98 C0 
13:13:30:4832,Rx,1,0x5601069,x,8,43 F7 FF FF 3C 00 98 C0 
13:13:30:4882,Rx,1,0x5601069,x,8,43 F7 FE FF 3B 00 98 C0 
13:13:30:4932,Rx,1,0x5601069,x,8,42 F7 FE FF 3B 00 99 C0 
13:13:30:4992,Rx,1,0x5601069,x,8,42 F7 FD FF 3A 00 99 C0 
13:13:30:5042,Rx,1,0x5601069,x,8,42 F7 FD FF 3A 00 99 C0 
13:13:30:5092,Rx,1,0x5601069,x,8,42 F7 FC FF 39 00 99 C0 
13:13:30:5142,Rx,1,0x5601069,x,8,41 F7 FC FF 39 00 99 C0 
13:13:30:5192,Rx,1,0x5601069,x,8,41 F7 FB FF 38 00 99 C0 
13:13:30:5242,Rx,1,0x5601069,x,8,41 F7 FB FF 38 00 99 C0 
13:13:30:5292,Rx,1,0x5601069,x,8,41 F7 FA FF 37 00 99 C0 
13:13:30:5342,Rx,1,0x5601069,x,8,40 F7 FA FF 37 00 99 C0 
13:13:30:5392,Rx,1,0x5601069,x,8,40 F7 F9 FF 36 00 99 C0 
13:13:30:5452,Rx,1,0x5601069,x,8,40 F7 F9 FF 36 00 99 C0 
13:13:30:5492,Rx,1,0x5601069,x,8,40 F7 F9 FF 36 00 99 C0 
13:13:30:5542,Rx,1,0x5601069,x,8,40 F7 F9 FF 35 00 99 C0 
13:13:30:5592,Rx,1,0x5601069,x,8,3F F7 F9 FF 35 00 99 C0 
13:13:30:5642,Rx,1,0x5601069,x,8,3F F7 F9 FF 34 00 99 C0 
13:13:30:5702,Rx,1,0x5601069,x,8,3F F7 F9 FF 34 00 99 C0 
13:13:30:5752,Rx,1,0x5601069,x,8,3F F7 F9 FF 33 00 99 C0 
13:13:30:5802,Rx,1,0x5601069,x,8,3E F7 F8 FF 33 00 99 C0 
13:13:30:5852,Rx,1,0x5601069,x,8,3E F7 F8 FF 33 00 99 C0 
13:13:30:5902,Rx,1,0x5601069,x,8,3E F7 F8 FF 32 00 99 C0 
13:13:30:5952,Rx,1,0x5601069,x,8,3E F7 F8 FF 32 00 99 C0 
13:13:30:6002,Rx,1,0x5601069,x,8,3D F7 F7 FF 31 00 99 C0 
13:13:30:6052,Rx,1,0x5601069,x,8,3D F7 F7 FF 31 00 99 C0 
13:13:30:6102,Rx,1,0x5601069,x,8,3D F7 F7 FF 30 00 99 C0 
13:13:30:6152,Rx,1,0x5601069,x,8,3D F7 F7 FF 30 00 99 C0 
13:13:30:6202,Rx,1,0x5601069,x,8,3C F7 F6 FF 2F 00 9A C0 
13:13:30:6252,Rx,1,0x5601069,x,8,3C F7 F6 FF 2F 00 9A C0 
13:13:30:6302,Rx,1,0x5601069,x,8,3C F7 F6 FF 2E 00 9A C0 
13:13:30:6352,Rx,1,0x5601069,x,8,3C F7 F6 FF 2E 00 9A C0 
13:13:30:6402,Rx,1,0x5601069,x,8,3C F7 F6 FF 2D 00 9A C0 
13:13:30:6452,Rx,1,0x5601069,x,8,3C F7 F6 FF 2D 00 9A C0 
13:13:30:6512,Rx,1,0x5601069,x,8,3C F7 F5 FF 2C 00 9A C0 
13:13:30:6562,Rx,1,0x5601069,x,8,3C F7 F5 FF 2C 00 9A C0 
13:13:30:6612,Rx,1,0x5601069,x,8,3B F7 F5 FF 2B 00 9A C0 
13:13:30:6662,Rx,1,0x5601069,x,8,3B F7 F5 FF 2B 00 9A C0 
13:13:30:6712,Rx,1,0x5601069,x,8,3B F7 F4 FF 2A 00 9A C0 
13:13:30:6762,Rx,1,0x5601069,x,8,3B F7 F4 FF 2A 00 9A C0 
13:13:30:6812,Rx,1,0x5601069,x,8,3B F7 F4 FF 29 00 9A C0 
13:13:30:6862,Rx,1,0x5601069,x,8,3B F7 F4 FF 29 00 9A C0 
13:13:30:6912,Rx,1,0x5601069,x,8,3B F7 F3 FF 28 00 9A C0 
13:13:30:6962,Rx,1,0x5601069,x,8,3B F7 F3 FF 28 00 9A C0 
13:13:30:7012,Rx,1,0x5601069,x,8,3A F7 F3 FF 27 00 9A C0 
13:13:30:7062,Rx,1,0x5601069,x,8,3A F7 F3 FF 27 00 9A C0 
13:13:30:7112,Rx,1,0x5601069,x,8,3A F7 F3 FF 26 00 9A C0 
13:13:30:7162,Rx,1,0x5601069,x,8,3A F7 F3 FF 26 00 9A C0 
13:13:30:7212,Rx,1,0x5601069,x,8,3A F7 F3 FF 25 00 9A C0 
13:13:30:7272,Rx,1,0x5601069,x,8,39 F7 F2 FF 25 00 9A C0 
13:13:30:7322,Rx,1,0x5601069,x,8,39 F7 F2 FF 24 00 9A C0 
13:13:30:7372,Rx,1,0x5601069,x,8,39 F7 F2 FF 24 00 9A C0 
13:13:30:7422,Rx,1,0x5601069,x,8,39 F7 F2 FF 23 00 9A C0 
13:13:30:7472,Rx,1,0x5601069,x,8,38 F7 F1 FF 23 00 9A C0 
13:13:30:7522,Rx,1,0x5601069,x,8,38 F7 FF FF 37 00 9A C0 
13:13:30:7572,Rx,1,0x5601069,x,8,38 F7 FF FF 37 00 9A C0 
13:13:30:7622,Rx,1,0x5601069,x,8,38 F7 FE FF 36 00 9A C0 
13:13:30:7672,Rx,1,0x5601069,x,8,38 F7 FE FF 36 00 9A C0 
13:13:30:7722,Rx,1,0x5601069,x,8,37 F7 FD FF 35 00 9A C0 
13:13:30:7772,Rx,1,0x5601069,x,8,37 F7 FD FF 35 00 9A C0 
13:13:30:7822,Rx,1,0x5601069,x,8,37 F7 FC FF 34 00 9A C0 
13:13:30:7872,Rx,1,0x5601069,x,8,37 F7 FC FF 34 00 9A C0 
13:13:30:7922,Rx,1,0x5601069,x,8,36 F7 FB FF 33 00 9A C0 
13:13:30:7992,Rx,1,0x5601069,x,8,36 F7 FB FF 33 00 9A C0 
13:13:30:8032,Rx,1,0x5601069,x,8,36 F7 FA FF 32 00 9A C0 
13:13:30:8082,Rx,1,0x5601069,x,8,36 F7 FA FF 32 00 9A C0 
13:13:30:8132,Rx,1,0x5601069,x,8,36 F7 F9 FF 31 00 9A C0 
13:13:30:8182,Rx,1,0x5601069,x,8,36 F7 F9 FF 31 00 9A C0 
13:13:30:8232,Rx,1,0x5601069,x,8,36 F7 F9 FF 31 00 9A C0 
13:13:30:8282,Rx,1,0x5601069,x,8,36 F7 F9 FF 31 00 9A C0 
13:13:30:8332,Rx,1,0x5601069,x,8,36 F7 F9 FF 30 00 9A C0 
13:13:30:8382,Rx,1,0x5601069,x,8,36 F7 F9 FF 30 00 9A C0 
13:13:30:8432,Rx,1,0x5601069,x,8,35 F7 F9 FF 30 00 9A C0 
13:13:30:8482,Rx,1,0x5601069,x,8,35 F7 F8 FF 2F 00 9B C0 
13:13:30:8532,Rx,1,0x5601069,x,8,35 F7 F8 FF 2F 00 9B C0 
13:13:30:8582,Rx,1,0x5601069,x,8,35 F7 F8 FF 2E 00 9B C0 
13:13:30:8632,Rx,1,0x5601069,x,8,34 F7 F8 FF 2E 00 9B C0 
13:13:30:8682,Rx,1,0x5601069,x,8,34 F7 F8 FF 2D 00 9B C0 
13:13:30:8732,Rx,1,0x5601069,x,8,34 F7 F8 FF 2D 00 9B C0 
13:13:30:8782,Rx,1,0x5601069,x,8,34 F7 F8 FF 2C 00 9B C0 
13:13:30:8832,Rx,1,0x5601069,x,8,34 F7 F8 FF 2C 00 9B C0 
13:13:30:8892,Rx,1,0x5601069,x,8,34 F7 F8 FF 2B 00 9B C0 
13:13:30:8942,Rx,1,0x5601069,x,8,34 F7 F8 FF 2B 00 9B C0 
13:13:30:8992,Rx,1,0x5601069,x,8,34 F7 F8 FF 2A 00 9B C0 
13:13:30:9042,Rx,1,0x5601069,x,8,34 F7 F8 FF 2A 00 9B C0 
13:13:30:9092,Rx,1,0x5601069,x,8,34 F7 F8 FF 29 00 9B C0 
13:13:30:9142,Rx,1,0x5601069,x,8,34 F7 F8 FF 29 00 9B C0 
13:13:30:9192,Rx,1,0x5601069,x,8,33 F7 F8 FF 28 00 9B C0 
13:13:30:9242,Rx,1,0x5601069,x,8,33 F7 F8 FF 28 00 9B C0 
13:13:30:9292,Rx,1,0x5601069,x,8,33 F7 F8 FF 27 00 9B C0 
13:13:30:9342,Rx,1,0x5601069,x,8,33 F7 F7 FF 27 00 9B C0 
13:13:30:9392,Rx,1,0x5601069,x,8,32 F7 FC FF 3C 00 9B C0 
13:13:30:9442,Rx,1,0x5601069,x,8,32 F7 FC FF 3C 00 9B C0 
13:13:30:9492,Rx,1,0x5601069,x,8,32 F7 FB FF 3B 00 9B C0 
13:13:30:9542,Rx,1,0x5601069,x,8,32 F7 FB FF 3B 00 9B C0 
13:13:30:9592,Rx,1,0x5601069,x,8,32 F7 FB FF 3A 00 9B C0 
13:13:30:9652,Rx,1,0x5601069,x,8,31 F7 FB FF 3A 00 9B C0 
13:13:30:9702,Rx,1,0x5601069,x,8,31 F7 FA FF 39 00 9B C0 
13:13:30:9752,Rx,1,0x5601069,x,8,31 F7 FA FF 39 00 9B C0 
13:13:30:9802,Rx,1,0x5601069,x,8,31 F7 FA FF 38 00 9B C0 
13:13:30:9852,Rx,1,0x5601069,x,8,31 F7 F9 FF 38 00 9B C0 
13:13:30:9902,Rx,1,0x5601069,x,8,31 F7 F9 FF 37 00 9B C0 
13:13:30:9942,Rx,1,0x5601069,x,8,31 F7 F9 FF 37 00 9B C0 
13:13:31:0002,Rx,1,0x5601069,x,8,30 F7 F9 FF 36 00 9B C0 
13:13:31:0052,Rx,1,0x5601069,x,8,30 F7 F9 FF 36 00 9B C0 
13:13:31:0102,Rx,1,0x5601069,x,8,30 F7 F9 FF 35 00 9B C0 
13:13:31:0152,Rx,1,0x5601069,x,8,30 F7 F9 FF 35 00 9B C0 
13:13:31:0202,Rx,1,0x5601069,x,8,30 F7 F9 FF 34 00 9B C0 
13:13:31:0252,Rx,1,0x5601069,x,8,2F F7 F9 FF 34 00 9B C0 
13:13:31:0302,Rx,1,0x5601069,x,8,2F F7 F9 FF 33 00 9B C0 
13:13:31:0352,Rx,1,0x5601069,x,8,2F F7 F9 FF 33 00 9B C0 
13:13:31:0412,Rx,1,0x5601069,x,8,2F F7 F9 FF 32 00 9B C0 
13:13:31:0462,Rx,1,0x5601069,x,8,2F F7 F9 FF 32 00 9B C0 
13:13:31:0522,Rx,1,0x5601069,x,8,2F F7 F9 FF 31 00 9B C0 
13:13:31:0562,Rx,1,0x5601069,x,8,2F F7 F8 FF 31 00 9B C0 
13:13:31:0612,Rx,1,0x5601069,x,8,2F F7 F8 FF 31 00 9B C0 
13:13:31:0662,Rx,1,0x5601069,x,8,2E F7 F8 FF 31 00 9B C0 
13:13:31:0712,Rx,1,0x5601069,x,8,2E F7 F8 FF 30 00 9B C0 
13:13:31:0762,Rx,1,0x5601069,x,8,2E F7 F8 FF 30 00 9C C0 
13:13:31:0812,Rx,1,0x5601069,x,8,2E F7 F8 FF 2F 00 9C C0 
13:13:31:0862,Rx,1,0x5601069,x,8,2D F7 F7 FF 2F 00 9C C0 
13:13:31:0912,Rx,1,0x5601069,x,8,2D F7 F7 FF 2E 00 9C C0 
13:13:31:0962,Rx,1,0x5601069,x,8,2D F7 F7 FF 2E 00 9C C0 
13:13:31:1012,Rx,1,0x5601069,x,8,2D F7 F7 FF 2D 00 9C C0 
13:13:31:1062,Rx,1,0x5601069,x,8,2C F7 F6 FF 2D 00 9C C0 
13:13:31:1112,Rx,1,0x5601069,x,8,2C F7 F6 FF 2C 00 9C C0 
13:13:31:1172,Rx,1,0x5601069,x,8,2C F7 F6 FF 2C 00 9C C0 
13:13:31:1222,Rx,1,0x5601069,x,8,2C F7 F6 FF 2C 00 9C C0 
13:13:31:1262,Rx,1,0x5601069,x,8,2C F7 F6 FF 2B 00 9C C0 
13:13:31:1322,Rx,1,0x5601069,x,8,2C F7 F6 FF 2B 00 9C C0 
13:13:31:1372,Rx,1,0x5601069,x,8,2C F7 F6 FF 2A 00 9C C0 
13:13:31:1422,Rx,1,0x5601069,x,8,2C F7 F6 FF 2A 00 9C C0 
13:13:31:1472,Rx,1,0x5601069,x,8,2C F7 F6 FF 29 00 9C C0 
13:13:31:1522,Rx,1,0x5601069,x,8,2B F7 F6 FF 29 00 9C C0 
13:13:31:1572,Rx,1,0x5601069,x,8,2B F7 F6 FF 28 00 9C C0 
13:13:31:1622,Rx,1,0x5601069,x,8,2B F7 F9 FF 3D 00 9C C0 
13:13:31:1672,Rx,1,0x5601069,x,8,2A F7 F9 FF 3D 00 9C C0 
13:13:31:1722,Rx,1,0x5601069,x,8,2A F7 F9 FF 3C 00 9C C0 
13:13:31:1772,Rx,1,0x5601069,x,8,2A F7 F9 FF 3C 00 9C C0 
13:13:31:1822,Rx,1,0x5601069,x,8,2A F7 F9 FF 3B 00 9C C0 
13:13:31:1872,Rx,1,0x5601069,x,8,2A F7 F9 FF 3B 00 9C C0 
13:13:31:1932,Rx,1,0x5601069,x,8,2A F7 F9 FF 3A 00 9C C0 
13:13:31:1982,Rx,1,0x5601069,x,8,29 F7 F9 FF 3A 00 9C C0 
13:13:31:2032,Rx,1,0x5601069,x,8,29 F7 F8 FF 39 00 9C C0 
13:13:31:2082,Rx,1,0x5601069,x,8,29 F7 F8 FF 39 00 9C C0 
13:13:31:2132,Rx,1,0x5601069,x,8,29 F7 F8 FF 38 00 9C C0 
13:13:31:2182,Rx,1,0x5601069,x,8,29 F7 F8 FF 38 00 9C C0 
13:13:31:2232,Rx,1,0x5601069,x,8,29 F7 F8 FF 37 00 9C C0 
13:13:31:2282,Rx,1,0x5601069,x,8,29 F7 F8 FF 37 00 9C C0 
13:13:31:2332,Rx,1,0x5601069,x,8,28 F7 F8 FF 36 00 9C C0 
13:13:31:2382,Rx,1,0x5601069,x,8,28 F7 F8 FF 36 00 9C C0 
13:13:31:2432,Rx,1,0x5601069,x,8,28 F7 F8 FF 35 00 9C C0 
13:13:31:2482,Rx,1,0x5601069,x,8,28 F7 F7 FF 35 00 9C C0 
13:13:31:2532,Rx,1,0x5601069,x,8,27 F7 F7 FF 34 00 9D C0 
13:13:31:2582,Rx,1,0x5601069,x,8,27 F7 F7 FF 34 00 9D C0 
13:13:31:2632,Rx,1,0x5601069,x,8,27 F7 F7 FF 33 00 9D C0 
13:13:31:2682,Rx,1,0x5601069,x,8,27 F7 F7 FF 33 00 9C C0 
13:13:31:2742,Rx,1,0x5601069,x,8,27 F7 F7 FF 32 00 9C C0 
13:13:31:2792,Rx,1,0x5601069,x,8,27 F7 F6 FF 32 00 9C C0 
13:13:31:2842,Rx,1,0x5601069,x,8,27 F7 F6 FF 31 00 9D C0 
13:13:31:2892,Rx,1,0x5601069,x,8,26 F7 F6 FF 31 00 9D C0 
13:13:31:2942,Rx,1,0x5601069,x,8,26 F7 F6 FF 31 00 9D C0 
13:13:31:2992,Rx,1,0x5601069,x,8,26 F7 F6 FF 30 00 9D C0 
13:13:31:3052,Rx,1,0x5601069,x,8,26 F7 F6 FF 30 00 9D C0 
13:13:31:3092,Rx,1,0x5601069,x,8,26 F7 F5 FF 30 00 9D C0 
13:13:31:3142,Rx,1,0x5601069,x,8,25 F7 F5 FF 2F 00 9D C0 
13:13:31:3192,Rx,1,0x5601069,x,8,25 F7 F5 FF 2F 00 9D C0 
13:13:31:3242,Rx,1,0x5601069,x,8,25 F7 F5 FF 2E 00 9D C0 
13:13:31:3292,Rx,1,0x5601069,x,8,25 F7 F4 FF 2E 00 9D C0 
13:13:31:3342,Rx,1,0x5601069,x,8,25 F7 F4 FF 2D 00 9D C0 
13:13:31:3392,Rx,1,0x5601069,x,8,25 F7 F4 FF 2D 00 9D C0 
13:13:31:3442,Rx,1,0x5601069,x,8,25 F7 F4 FF 2C 00 9D C0 
13:13:31:3492,Rx,1,0x5601069,x,8,24 F7 F3 FF 2C 00 9D C0 
13:13:31:3552,Rx,1,0x5601069,x,8,24 F7 F3 FF 2B 00 9D C0 
13:13:31:3602,Rx,1,0x5601069,x,8,24 F7 F3 FF 2B 00 9D C0 
13:13:31:3652,Rx,1,0x5601069,x,8,24 F7 F3 FF 2A 00 9D C0 
13:13:31:3702,Rx,1,0x5601069,x,8,23 F7 F3 FF 2A 00 9D C0 
13:13:31:3752,Rx,1,0x5601069,x,8,23 F7 F3 FF 29 00 9D C0 
13:13:31:3802,Rx,1,0x5601069,x,8,23 F7 F3 FF 29 00 9D C0 
13:13:31:3852,Rx,1,0x5601069,x,8,23 F7 F3 FF 28 00 9D C0 
13:13:31:3902,Rx,1,0x5601069,x,8,22 F7 F3 FF 28 00 9D C0 
13:13:31:3952,Rx,1,0x5601069,x,8,22 F7 F2 FF 27 00 9D C0 
13:13:31:4002,Rx,1,0x5601069,x,8,22 F7 F2 FF 27 00 9D C0 
13:13:31:4052,Rx,1,0x5601069,x,8,22 F7 F2 FF 26 00 9D C0 
13:13:31:4102,Rx,1,0x5601069,x,8,22 F7 F2 FF 26 00 9D C0 
13:13:31:4152,Rx,1,0x5601069,x,8,22 F7 F1 FF 26 00 9D C0 
13:13:31:4202,Rx,1,0x5601069,x,8,22 F7 F1 FF 25 00 9D C0 
13:13:31:4262,Rx,1,0x5601069,x,8,22 F7 F1 FF 25 00 9D C0 
13:13:31:4312,Rx,1,0x5601069,x,8,21 F7 F1 FF 24 00 9D C0 
13:13:31:4362,Rx,1,0x5601069,x,8,21 F7 F0 FF 24 00 9D C0 
13:13:31:4412,Rx,1,0x5601069,x,8,21 F7 F0 FF 23 00 9D C0 
13:13:31:4462,Rx,1,0x5601069,x,8,21 F7 F0 FF 23 00 9D C0 
13:13:31:4512,Rx,1,0x5601069,x,8,20 F7 01 00 39 00 9D C0 
13:13:31:4562,Rx,1,0x5601069,x,8,20 F7 01 00 39 00 9D C0 
13:13:31:4612,Rx,1,0x5601069,x,8,20 F7 00 00 38 00 9D C0 
13:13:31:4662,Rx,1,0x5601069,x,8,1F F7 00 00 38 00 9D C0 
13:13:31:4712,Rx,1,0x5601069,x,8,1F F7 00 00 37 00 9E C0 
13:13:31:4762,Rx,1,0x5601069,x,8,1F F7 FF FF 37 00 9E C0 
13:13:31:4812,Rx,1,0x5601069,x,8,1F F7 FF FF 36 00 9E C0 
13:13:31:4862,Rx,1,0x5601069,x,8,1E F7 FE FF 36 00 9E C0 
13:13:31:4912,Rx,1,0x5601069,x,8,1E F7 FE FF 36 00 9E C0 
