BUSMASTER Ver 3.2.2,,,,,,
PROTOCOL CAN,,,,,,
NOTE: PLEASE DO NOT EDIT THIS DOCUMENT,,,,,,
[START LOGGING SESSION],,,,,,
START DATE AND TIME 15:1:2019 13:13:26:24,,,,,,
END DATE AND TIME 23:1:2019 14:47:40:625,,,,,,
SYSTEM MODE,,,,,,
START CHANNEL BAUD RATE,,,,,,
CHANNEL 1 - Kvaser - Kvaser Leaf Light v2 #0 (Channel 0), Serial Number- 0, Firmware- 0x00000187 0x00040004 - 250000 bps,,,,
END CHANNEL BAUD RATE,,,,,,
START DATABASE FILES,,,,,,
END DATABASE FILES,,,,,,
<Time>,<Tx/Rx>,<Channel>,<CAN ID>,<Type>,<DLC>,<DataBytes>
13:13:26:3242,Rx,1,0x5601069,x,8,D6 F7 F9 FF 32 00 85 C0 
13:13:26:3302,Rx,1,0x5601069,x,8,D6 F7 F9 FF 31 00 85 C0 
13:13:26:3352,Rx,1,0x5601069,x,8,D6 F7 F9 FF 31 00 85 C0 
13:13:26:3402,Rx,1,0x5601069,x,8,D6 F7 F9 FF 30 00 85 C0 
13:13:26:3452,Rx,1,0x5601069,x,8,D6 F7 F9 FF 30 00 85 C0 
13:13:26:3502,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2F 00 85 C0 
13:13:26:3552,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2F 00 85 C0 
13:13:26:3602,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2E 00 85 C0 
13:13:26:3652,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2E 00 85 C0 
13:13:26:3702,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2D 00 85 C0 
13:13:26:3752,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2D 00 85 C0 
13:13:26:3812,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2C 00 85 C0 
13:13:26:3862,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2C 00 85 C0 
13:13:26:3912,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2B 00 85 C0 
13:13:26:3962,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2B 00 85 C0 
13:13:26:4002,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2A 00 85 C0 
13:13:26:4062,Rx,1,0x5601069,x,8,D5 F7 F9 FF 2A 00 85 C0 
13:13:26:4112,Rx,1,0x5601069,x,8,D5 F7 F8 FF 2A 00 85 C0 
13:13:26:4162,Rx,1,0x5601069,x,8,D5 F7 F8 FF 29 00 85 C0 
13:13:26:4212,Rx,1,0x5601069,x,8,D5 F7 F8 FF 29 00 85 C0 
13:13:26:4262,Rx,1,0x5601069,x,8,D5 F7 F8 FF 29 00 85 C0 
13:13:26:4312,Rx,1,0x5601069,x,8,D5 F7 F8 FF 28 00 85 C0 
13:13:26:4362,Rx,1,0x5601069,x,8,D5 F7 F8 FF 28 00 85 C0 
13:13:26:4412,Rx,1,0x5601069,x,8,D5 F7 F8 FF 27 00 85 C0 
13:13:26:4462,Rx,1,0x5601069,x,8,D5 F7 F8 FF 27 00 85 C0 
13:13:26:4512,Rx,1,0x5601069,x,8,D5 F7 F8 FF 26 00 85 C0 
13:13:26:4572,Rx,1,0x5601069,x,8,D5 F7 F8 FF 26 00 85 C0 
13:13:26:4612,Rx,1,0x5601069,x,8,D5 F7 F8 FF 25 00 85 C0 
13:13:26:4672,Rx,1,0x5601069,x,8,D5 F7 F8 FF 25 00 85 C0 
13:13:26:4722,Rx,1,0x5601069,x,8,D5 F7 F8 FF 24 00 85 C0 
13:13:26:4772,Rx,1,0x5601069,x,8,D5 F7 FA FF 39 00 85 C0 
13:13:26:4822,Rx,1,0x5601069,x,8,D4 F7 F9 FF 39 00 85 C0 
13:13:26:4872,Rx,1,0x5601069,x,8,D4 F7 F9 FF 38 00 85 C0 
13:13:26:4932,Rx,1,0x5601069,x,8,D4 F7 F9 FF 38 00 85 C0 
13:13:26:4972,Rx,1,0x5601069,x,8,D4 F7 F9 FF 37 00 85 C0 
13:13:26:5022,Rx,1,0x5601069,x,8,D4 F7 F9 FF 37 00 85 C0 
13:13:26:5072,Rx,1,0x5601069,x,8,D4 F7 F9 FF 36 00 85 C0 
13:13:26:5122,Rx,1,0x5601069,x,8,D4 F7 F9 FF 36 00 85 C0 
13:13:26:5172,Rx,1,0x5601069,x,8,D4 F7 F9 FF 36 00 85 C0 
13:13:26:5222,Rx,1,0x5601069,x,8,D4 F7 F9 FF 36 00 85 C0 
13:13:26:5272,Rx,1,0x5601069,x,8,D4 F7 F9 FF 35 00 85 C0 
13:13:26:5322,Rx,1,0x5601069,x,8,D4 F7 F9 FF 35 00 85 C0 
13:13:26:5382,Rx,1,0x5601069,x,8,D3 F7 F9 FF 35 00 86 C0 
13:13:26:5432,Rx,1,0x5601069,x,8,D3 F7 F9 FF 34 00 86 C0 
13:13:26:5482,Rx,1,0x5601069,x,8,D3 F7 F9 FF 34 00 86 C0 
13:13:26:5532,Rx,1,0x5601069,x,8,D3 F7 F9 FF 34 00 86 C0 
13:13:26:5582,Rx,1,0x5601069,x,8,D3 F7 F8 FF 33 00 86 C0 
13:13:26:5632,Rx,1,0x5601069,x,8,D3 F7 F8 FF 33 00 86 C0 
13:13:26:5672,Rx,1,0x5601069,x,8,D2 F7 F8 FF 32 00 86 C0 
13:13:26:5732,Rx,1,0x5601069,x,8,D2 F7 F8 FF 32 00 86 C0 
13:13:26:5782,Rx,1,0x5601069,x,8,D2 F7 F7 FF 31 00 86 C0 
13:13:26:5832,Rx,1,0x5601069,x,8,D2 F7 F7 FF 31 00 86 C0 
13:13:26:5882,Rx,1,0x5601069,x,8,D1 F7 F7 FF 30 00 86 C0 
13:13:26:5932,Rx,1,0x5601069,x,8,D1 F7 F7 FF 30 00 86 C0 
13:13:26:5982,Rx,1,0x5601069,x,8,D1 F7 F7 FF 2F 00 86 C0 
13:13:26:6032,Rx,1,0x5601069,x,8,D1 F7 F7 FF 2F 00 86 C0 
13:13:26:6082,Rx,1,0x5601069,x,8,D0 F7 F7 FF 2F 00 86 C0 
13:13:26:6132,Rx,1,0x5601069,x,8,D0 F7 F7 FF 2E 00 86 C0 
13:13:26:6192,Rx,1,0x5601069,x,8,D0 F7 F7 FF 2E 00 86 C0 
13:13:26:6242,Rx,1,0x5601069,x,8,D0 F7 F7 FF 2D 00 86 C0 
13:13:26:6292,Rx,1,0x5601069,x,8,CF F7 F7 FF 2D 00 86 C0 
13:13:26:6342,Rx,1,0x5601069,x,8,CF F7 F7 FF 2C 00 86 C0 
13:13:26:6392,Rx,1,0x5601069,x,8,CF F7 F7 FF 2C 00 86 C0 
13:13:26:6442,Rx,1,0x5601069,x,8,CF F7 F6 FF 2C 00 86 C0 
13:13:26:6492,Rx,1,0x5601069,x,8,CE F7 F6 FF 2B 00 86 C0 
13:13:26:6542,Rx,1,0x5601069,x,8,CE F7 F6 FF 2B 00 86 C0 
13:13:26:6592,Rx,1,0x5601069,x,8,CE F7 F6 FF 2A 00 86 C0 
13:13:26:6642,Rx,1,0x5601069,x,8,CE F7 F6 FF 2A 00 86 C0 
13:13:26:6692,Rx,1,0x5601069,x,8,CE F7 F6 FF 29 00 86 C0 
13:13:26:6742,Rx,1,0x5601069,x,8,CD F7 F6 FF 29 00 86 C0 
13:13:26:6792,Rx,1,0x5601069,x,8,CD F7 F6 FF 28 00 86 C0 
13:13:26:6842,Rx,1,0x5601069,x,8,CD F7 F7 FF 3D 00 86 C0 
13:13:26:6892,Rx,1,0x5601069,x,8,CD F7 F7 FF 3C 00 86 C0 
13:13:26:6952,Rx,1,0x5601069,x,8,CC F7 F7 FF 3C 00 86 C0 
13:13:26:7002,Rx,1,0x5601069,x,8,CC F7 F7 FF 3B 00 86 C0 
13:13:26:7052,Rx,1,0x5601069,x,8,CC F7 F7 FF 3B 00 86 C0 
13:13:26:7102,Rx,1,0x5601069,x,8,CC F7 F7 FF 3A 00 87 C0 
13:13:26:7152,Rx,1,0x5601069,x,8,CB F7 F7 FF 3A 00 87 C0 
13:13:26:7202,Rx,1,0x5601069,x,8,CB F7 F7 FF 39 00 87 C0 
13:13:26:7252,Rx,1,0x5601069,x,8,CB F7 F6 FF 39 00 87 C0 
13:13:26:7302,Rx,1,0x5601069,x,8,CB F7 F6 FF 39 00 87 C0 
13:13:26:7352,Rx,1,0x5601069,x,8,CB F7 F6 FF 38 00 87 C0 
13:13:26:7402,Rx,1,0x5601069,x,8,CB F7 F6 FF 38 00 87 C0 
13:13:26:7462,Rx,1,0x5601069,x,8,CB F7 F5 FF 38 00 87 C0 
13:13:26:7502,Rx,1,0x5601069,x,8,CA F7 F5 FF 38 00 87 C0 
13:13:26:7552,Rx,1,0x5601069,x,8,CA F7 F5 FF 37 00 87 C0 
13:13:26:7602,Rx,1,0x5601069,x,8,CA F7 F5 FF 37 00 87 C0 
13:13:26:7652,Rx,1,0x5601069,x,8,CA F7 F4 FF 36 00 87 C0 
13:13:26:7702,Rx,1,0x5601069,x,8,C9 F7 F4 FF 36 00 87 C0 
13:13:26:7762,Rx,1,0x5601069,x,8,C9 F7 F4 FF 35 00 87 C0 
13:13:26:7812,Rx,1,0x5601069,x,8,C9 F7 F4 FF 35 00 87 C0 
13:13:26:7862,Rx,1,0x5601069,x,8,C9 F7 F4 FF 34 00 87 C0 
13:13:26:7912,Rx,1,0x5601069,x,8,C9 F7 F4 FF 34 00 87 C0 
13:13:26:7962,Rx,1,0x5601069,x,8,C9 F7 F4 FF 33 00 87 C0 
13:13:26:8012,Rx,1,0x5601069,x,8,C9 F7 F4 FF 33 00 87 C0 
13:13:26:8062,Rx,1,0x5601069,x,8,C9 F7 F4 FF 32 00 87 C0 
13:13:26:8112,Rx,1,0x5601069,x,8,C8 F7 F4 FF 32 00 87 C0 
13:13:26:8162,Rx,1,0x5601069,x,8,C8 F7 F4 FF 31 00 87 C0 
13:13:26:8212,Rx,1,0x5601069,x,8,C8 F7 F4 FF 31 00 87 C0 
13:13:26:8262,Rx,1,0x5601069,x,8,C8 F7 F4 FF 30 00 87 C0 
13:13:26:8312,Rx,1,0x5601069,x,8,C7 F7 F4 FF 30 00 87 C0 
13:13:26:8362,Rx,1,0x5601069,x,8,C7 F7 F4 FF 30 00 87 C0 
13:13:26:8412,Rx,1,0x5601069,x,8,C7 F7 F4 FF 2F 00 87 C0 
13:13:26:8472,Rx,1,0x5601069,x,8,C7 F7 F3 FF 2F 00 87 C0 
13:13:26:8522,Rx,1,0x5601069,x,8,C6 F7 F3 FF 2F 00 87 C0 
13:13:26:8572,Rx,1,0x5601069,x,8,C6 F7 F3 FF 2E 00 87 C0 
13:13:26:8622,Rx,1,0x5601069,x,8,C6 F7 F3 FF 2E 00 87 C0 
13:13:26:8672,Rx,1,0x5601069,x,8,C6 F7 F2 FF 2D 00 87 C0 
13:13:26:8722,Rx,1,0x5601069,x,8,C5 F7 F2 FF 2D 00 87 C0 
13:13:26:8772,Rx,1,0x5601069,x,8,C5 F7 F2 FF 2C 00 87 C0 
13:13:26:8822,Rx,1,0x5601069,x,8,C5 F7 F2 FF 2C 00 87 C0 
13:13:26:8872,Rx,1,0x5601069,x,8,C5 F7 F2 FF 2B 00 87 C0 
13:13:26:8922,Rx,1,0x5601069,x,8,C5 F7 F2 FF 2B 00 87 C0 
13:13:26:8972,Rx,1,0x5601069,x,8,C5 F7 F2 FF 2A 00 87 C0 
13:13:26:9022,Rx,1,0x5601069,x,8,C5 F7 F2 FF 2A 00 87 C0 
13:13:26:9072,Rx,1,0x5601069,x,8,C4 F7 F2 FF 2A 00 87 C0 
13:13:26:9122,Rx,1,0x5601069,x,8,C4 F7 F2 FF 2A 00 87 C0 
13:13:26:9172,Rx,1,0x5601069,x,8,C4 F7 F1 FF 29 00 87 C0 
13:13:26:9222,Rx,1,0x5601069,x,8,C4 F7 F1 FF 29 00 87 C0 
13:13:26:9272,Rx,1,0x5601069,x,8,C3 F7 F1 FF 29 00 87 C0 
13:13:26:9332,Rx,1,0x5601069,x,8,C3 F7 F1 FF 28 00 87 C0 
13:13:26:9382,Rx,1,0x5601069,x,8,C3 F7 F0 FF 28 00 88 C0 
13:13:26:9432,Rx,1,0x5601069,x,8,C3 F7 F0 FF 27 00 88 C0 
13:13:26:9482,Rx,1,0x5601069,x,8,C2 F7 F0 FF 27 00 88 C0 
13:13:26:9532,Rx,1,0x5601069,x,8,C2 F7 F0 FF 26 00 88 C0 
13:13:26:9582,Rx,1,0x5601069,x,8,C2 F7 F0 FF 26 00 88 C0 
13:13:26:9632,Rx,1,0x5601069,x,8,C2 F7 F0 FF 26 00 88 C0 
13:13:26:9682,Rx,1,0x5601069,x,8,C1 F7 F0 FF 25 00 88 C0 
13:13:26:9732,Rx,1,0x5601069,x,8,C1 F7 EF FF 25 00 88 C0 
13:13:26:9782,Rx,1,0x5601069,x,8,C1 F7 EF FF 25 00 88 C0 
